example/schema dev:example: ssp-3-1             | 2026-02-28T00:18:05.992683Z DEBUG ingest_handler{payload_size_bytes=796 table="thread" op="UPDATE" id="thread:1d8464e302c94600981f547b97d70438" views_affected=1 edges_updated=1}:update_all_edges{total_operations=1}: ssp_server: Processing edge operations created=0 updated=1 deleted=0 views=1
example/schema dev:example: ssp-3-1             | 2026-02-28T00:18:05.994516Z DEBUG ingest_handler{payload_size_bytes=796 table="thread" op="UPDATE" id="thread:1d8464e302c94600981f547b97d70438" views_affected=1 edges_updated=1}:update_all_edges{total_operations=1}: ssp::edges: Edge update transaction completed successfully operations=1
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:05.994890Z  INFO scheduler::ingest: Ingest processed successfully seq=19
example/schema dev:example: ssp-3-1             | 2026-02-28T00:18:05.998944Z  INFO job_runner::runner: Job completed successfully job_id=job:5d033aa1399e4a0e8cbe4abfc94e5de3 status=200 OK
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:06.002039Z  INFO scheduler::ingest: Received ingest: UPDATE job:5d033aa1399e4a0e8cbe4abfc94e5de3 on job
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:06.002133Z  INFO scheduler::ingest: Broadcasting to 3 ready SSPs
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:06.002140Z DEBUG scheduler::transport: POST /ingest -> http://ssp-1:8667/ingest
example/schema dev:example: ssp-1-1             | 2026-02-28T00:18:06.002574Z DEBUG ingest_handler{payload_size_bytes=459 table="job" op="UPDATE" id="job:5d033aa1399e4a0e8cbe4abfc94e5de3" views_affected=1 edges_updated=1}:update_all_edges{total_operations=3}: ssp_server: Processing edge operations created=0 updated=3 deleted=0 views=1
example/schema dev:example: ssp-2-1             | 2026-02-28T00:18:06.007405Z DEBUG ingest_handler{payload_size_bytes=459 table="job" op="UPDATE" id="job:5d033aa1399e4a0e8cbe4abfc94e5de3" views_affected=1 edges_updated=1}:update_all_edges{total_operations=3}: ssp_server: Processing edge operations created=0 updated=3 deleted=0 views=1
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:06.007077Z DEBUG scheduler::transport: POST /ingest -> http://ssp-2:8667/ingest
example/schema dev:example: ssp-1-1             | 2026-02-28T00:18:06.006834Z DEBUG ingest_handler{payload_size_bytes=459 table="job" op="UPDATE" id="job:5d033aa1399e4a0e8cbe4abfc94e5de3" views_affected=1 edges_updated=1}:update_all_edges{total_operations=3}: ssp::edges: Edge update transaction completed successfully operations=3
example/api dev:example: --> POST /spookify 200 2s
example/schema dev:example: ssp-2-1             | 2026-02-28T00:18:06.009358Z DEBUG ingest_handler{payload_size_bytes=459 table="job" op="UPDATE" id="job:5d033aa1399e4a0e8cbe4abfc94e5de3" views_affected=1 edges_updated=1}:update_all_edges{total_operations=3}: ssp::edges: Edge update transaction completed successfully operations=3
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:06.009606Z DEBUG scheduler::transport: POST /ingest -> http://ssp-3:8667/ingest
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:06.010282Z  INFO scheduler::ingest: Ingest processed successfully seq=20
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:06.218679Z  INFO scheduler::ingest: Received ingest: UPDATE thread:1d8464e302c94600981f547b97d70438 on thread
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:06.218737Z  INFO scheduler::ingest: Broadcasting to 3 ready SSPs
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:06.218741Z DEBUG scheduler::transport: POST /ingest -> http://ssp-1:8667/ingest
example/schema dev:example: ssp-1-1             | 2026-02-28T00:18:06.219138Z DEBUG ingest_handler{payload_size_bytes=832 table="thread" op="UPDATE" id="thread:1d8464e302c94600981f547b97d70438" views_affected=3 edges_updated=3}:update_all_edges{total_operations=3}: ssp_server: Processing edge operations created=0 updated=3 deleted=0 views=3
example/schema dev:example: ssp-1-1             | 2026-02-28T00:18:06.224478Z DEBUG ingest_handler{payload_size_bytes=832 table="thread" op="UPDATE" id="thread:1d8464e302c94600981f547b97d70438" views_affected=3 edges_updated=3}:update_all_edges{total_operations=3}: ssp::edges: Edge update transaction completed successfully operations=3
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:06.224947Z DEBUG scheduler::transport: POST /ingest -> http://ssp-2:8667/ingest
example/schema dev:example: ssp-2-1             | 2026-02-28T00:18:06.225241Z DEBUG ingest_handler{payload_size_bytes=832 table="thread" op="UPDATE" id="thread:1d8464e302c94600981f547b97d70438" views_affected=3 edges_updated=3}:update_all_edges{total_operations=3}: ssp_server: Processing edge operations created=0 updated=3 deleted=0 views=3
example/schema dev:example: ssp-2-1             | 2026-02-28T00:18:06.226842Z DEBUG ingest_handler{payload_size_bytes=832 table="thread" op="UPDATE" id="thread:1d8464e302c94600981f547b97d70438" views_affected=3 edges_updated=3}:update_all_edges{total_operations=3}: ssp::edges: Edge update transaction completed successfully operations=3
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:06.227060Z DEBUG scheduler::transport: POST /ingest -> http://ssp-3:8667/ingest
example/schema dev:example: ssp-3-1             | 2026-02-28T00:18:06.227426Z DEBUG ingest_handler{payload_size_bytes=832 table="thread" op="UPDATE" id="thread:1d8464e302c94600981f547b97d70438" views_affected=1 edges_updated=1}:update_all_edges{total_operations=1}: ssp_server: Processing edge operations created=0 updated=1 deleted=0 views=1
example/schema dev:example: ssp-3-1             | 2026-02-28T00:18:06.228286Z DEBUG ingest_handler{payload_size_bytes=832 table="thread" op="UPDATE" id="thread:1d8464e302c94600981f547b97d70438" views_affected=1 edges_updated=1}:update_all_edges{total_operations=1}: ssp::edges: Edge update transaction completed successfully operations=1
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:06.228412Z  INFO scheduler::ingest: Ingest processed successfully seq=21
example/schema dev:example: ssp-2-1             | 2026-02-28T00:18:06.230465Z  INFO job_runner::runner: Job completed successfully job_id=job:5d033aa1399e4a0e8cbe4abfc94e5de3 status=200 OK
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:06.231812Z  INFO scheduler::ingest: Received ingest: UPDATE job:5d033aa1399e4a0e8cbe4abfc94e5de3 on job
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:06.231858Z  INFO scheduler::ingest: Broadcasting to 3 ready SSPs
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:06.231861Z DEBUG scheduler::transport: POST /ingest -> http://ssp-1:8667/ingest
example/schema dev:example: ssp-1-1             | 2026-02-28T00:18:06.232082Z DEBUG ingest_handler{payload_size_bytes=459 table="job" op="UPDATE" id="job:5d033aa1399e4a0e8cbe4abfc94e5de3" views_affected=1 edges_updated=1}:update_all_edges{total_operations=3}: ssp_server: Processing edge operations created=0 updated=3 deleted=0 views=1
example/schema dev:example: ssp-1-1             | 2026-02-28T00:18:06.234325Z DEBUG ingest_handler{payload_size_bytes=459 table="job" op="UPDATE" id="job:5d033aa1399e4a0e8cbe4abfc94e5de3" views_affected=1 edges_updated=1}:update_all_edges{total_operations=3}: ssp::edges: Edge update transaction completed successfully operations=3
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:06.234700Z DEBUG scheduler::transport: POST /ingest -> http://ssp-2:8667/ingest
example/schema dev:example: ssp-2-1             | 2026-02-28T00:18:06.235201Z DEBUG ingest_handler{payload_size_bytes=459 table="job" op="UPDATE" id="job:5d033aa1399e4a0e8cbe4abfc94e5de3" views_affected=1 edges_updated=1}:update_all_edges{total_operations=3}: ssp_server: Processing edge operations created=0 updated=3 deleted=0 views=1
example/api dev:example: --> POST /spookify 200 2s
example/schema dev:example: ssp-2-1             | 2026-02-28T00:18:06.273139Z DEBUG ingest_handler{payload_size_bytes=459 table="job" op="UPDATE" id="job:5d033aa1399e4a0e8cbe4abfc94e5de3" views_affected=1 edges_updated=1}:update_all_edges{total_operations=3}: ssp::edges: Edge update transaction completed successfully operations=3
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:06.273407Z DEBUG scheduler::transport: POST /ingest -> http://ssp-3:8667/ingest
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:06.273763Z  INFO scheduler::ingest: Ingest processed successfully seq=22
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.018469Z  INFO scheduler: Applying buffered events to snapshot event_count=22 max_seq=22
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.029745Z DEBUG scheduler::replica: Applied Create for user:8wpnmt612i7dc7ehw0yp
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.032898Z DEBUG scheduler::replica: Applied Create for thread:1d8464e302c94600981f547b97d70438
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.035519Z DEBUG scheduler::replica: Applied Create for comment:f58fcfa23e3841eaae2d6cb71410e683
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.037044Z DEBUG scheduler::replica: Applied Create for user:xzlnym932o5w0x4nf9d9
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.038312Z DEBUG scheduler::replica: Applied Create for comment:389a17d52560445a819f731b4a2e1208
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.038823Z DEBUG scheduler::replica: Applied Delete for comment:f58fcfa23e3841eaae2d6cb71410e683
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.039390Z DEBUG scheduler::replica: Applied Update for thread:1d8464e302c94600981f547b97d70438
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.041514Z DEBUG scheduler::replica: Applied Create for job:5d033aa1399e4a0e8cbe4abfc94e5de3
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.041857Z DEBUG scheduler::replica: Applied Update for thread:1d8464e302c94600981f547b97d70438
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.042132Z DEBUG scheduler::replica: Applied Update for thread:1d8464e302c94600981f547b97d70438
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.042558Z DEBUG scheduler::replica: Applied Update for thread:1d8464e302c94600981f547b97d70438
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.042889Z DEBUG scheduler::replica: Applied Update for job:5d033aa1399e4a0e8cbe4abfc94e5de3
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.043156Z DEBUG scheduler::replica: Applied Update for job:5d033aa1399e4a0e8cbe4abfc94e5de3
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.043453Z DEBUG scheduler::replica: Applied Update for job:5d033aa1399e4a0e8cbe4abfc94e5de3
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.043781Z DEBUG scheduler::replica: Applied Update for job:5d033aa1399e4a0e8cbe4abfc94e5de3
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.044056Z DEBUG scheduler::replica: Applied Update for job:5d033aa1399e4a0e8cbe4abfc94e5de3
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.044350Z DEBUG scheduler::replica: Applied Update for job:5d033aa1399e4a0e8cbe4abfc94e5de3
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.044570Z DEBUG scheduler::replica: Applied Update for job:5d033aa1399e4a0e8cbe4abfc94e5de3
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.044910Z DEBUG scheduler::replica: Applied Update for thread:1d8464e302c94600981f547b97d70438
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.045129Z DEBUG scheduler::replica: Applied Update for job:5d033aa1399e4a0e8cbe4abfc94e5de3
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.045357Z DEBUG scheduler::replica: Applied Update for thread:1d8464e302c94600981f547b97d70438
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.045543Z DEBUG scheduler::replica: Applied Update for job:5d033aa1399e4a0e8cbe4abfc94e5de3
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.047502Z DEBUG scheduler::wal: Read events from WAL count=22
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.047970Z  INFO scheduler::wal: WAL truncated removed=22 remaining=0 up_to_seq=22
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:08.047998Z  INFO scheduler: Snapshot update complete event_count=22 max_seq=22
example/schema dev:example: ssp-3-1             | 2026-02-28T00:18:08.594050Z DEBUG ssp_server: Heartbeat sent successfully
example/schema dev:example: ssp-2-1             | 2026-02-28T00:18:08.600076Z DEBUG ssp_server: Heartbeat sent successfully
example/schema dev:example: ssp-1-1             | 2026-02-28T00:18:08.608739Z DEBUG ssp_server: Heartbeat sent successfully
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:12.817244Z  INFO scheduler::query: Registering query: _spooky_query:9da9ae3d16d1bc00e8f3434a5778a774ef97f024d965a46de41dc213b799a3cc
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:12.817289Z DEBUG scheduler::transport: POST /view/register -> http://ssp-3:8667/view/register
example/schema dev:example: ssp-3-1             | 2026-02-28T00:18:12.817631Z  INFO register_view_handler{payload=Object {"clientId": String("10157980544b49e18564dc8756fb7f88"), "format": String("flat"), "id": String("_spooky_query:9da9ae3d16d1bc00e8f3434a5778a774ef97f024d965a46de41dc213b799a3cc"), "lastActiveAt": String("2026-02-28T00:18:12.813087220Z"), "params": String("{ id: user:xzlnym932o5w0x4nf9d9 }"), "surql": String("SELECT * FROM user WHERE id = $id LIMIT 1;"), "ttl": String("10m")} view_id="_spooky_query:9da9ae3d16d1bc00e8f3434a5778a774ef97f024d965a46de41dc213b799a3cc"}: ssp::edges: View already existed - skipping registration view_id=_spooky_query:9da9ae3d16d1bc00e8f3434a5778a774ef97f024d965a46de41dc213b799a3cc
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:12.817863Z  INFO scheduler::query: Assigned query _spooky_query:9da9ae3d16d1bc00e8f3434a5778a774ef97f024d965a46de41dc213b799a3cc to SSP ssp-3
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:12.837044Z  INFO scheduler::query: Registering query: _spooky_query:823307993c67ff2fdb1141a5930e64a77d7cd94e00f7ed36c2597317f69ba88d
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:12.837071Z DEBUG scheduler::transport: POST /view/register -> http://ssp-1:8667/view/register
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:12.837916Z  INFO scheduler::query: Assigned query _spooky_query:823307993c67ff2fdb1141a5930e64a77d7cd94e00f7ed36c2597317f69ba88d to SSP ssp-1
example/schema dev:example: ssp-1-1             | 2026-02-28T00:18:12.837672Z  INFO register_view_handler{payload=Object {"clientId": String("10157980544b49e18564dc8756fb7f88"), "format": String("flat"), "id": String("_spooky_query:823307993c67ff2fdb1141a5930e64a77d7cd94e00f7ed36c2597317f69ba88d"), "lastActiveAt": String("2026-02-28T00:18:12.834509511Z"), "params": String("{ id: thread:1d8464e302c94600981f547b97d70438 }"), "surql": String("SELECT *, (SELECT * FROM user WHERE id=$parent.author LIMIT 1)[0] AS author, (SELECT *, (SELECT * FROM user WHERE id=$parent.author LIMIT 1)[0] AS author FROM comment WHERE thread=$parent.id ORDER BY created_at desc LIMIT 10) AS comments, (SELECT * FROM job WHERE assigned_to=$parent.id AND path = \"/spookify\" ORDER BY created_at desc LIMIT 1) AS jobs FROM thread WHERE id = $id LIMIT 1;"), "ttl": String("10m")} view_id="_spooky_query:823307993c67ff2fdb1141a5930e64a77d7cd94e00f7ed36c2597317f69ba88d"}: ssp::edges: View already existed - skipping registration view_id=_spooky_query:823307993c67ff2fdb1141a5930e64a77d7cd94e00f7ed36c2597317f69ba88d
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:12.853508Z  INFO scheduler::query: Registering query: _spooky_query:295a8abea0d4a518fc403eb7064fbeb953a9b01d5c56f21ca1a3dfc5d535bb60
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:12.853536Z DEBUG scheduler::transport: POST /view/register -> http://ssp-2:8667/view/register
example/schema dev:example: ssp-2-1             | 2026-02-28T00:18:12.853911Z  INFO register_view_handler{payload=Object {"clientId": String("10157980544b49e18564dc8756fb7f88"), "format": String("flat"), "id": String("_spooky_query:295a8abea0d4a518fc403eb7064fbeb953a9b01d5c56f21ca1a3dfc5d535bb60"), "lastActiveAt": String("2026-02-28T00:18:12.850956511Z"), "params": String("{  }"), "surql": String("SELECT * FROM thread ORDER BY title asc LIMIT 20;"), "ttl": String("10m")} view_id="_spooky_query:295a8abea0d4a518fc403eb7064fbeb953a9b01d5c56f21ca1a3dfc5d535bb60"}: ssp::edges: View already existed - skipping registration view_id=_spooky_query:295a8abea0d4a518fc403eb7064fbeb953a9b01d5c56f21ca1a3dfc5d535bb60
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:12.854142Z  INFO scheduler::query: Assigned query _spooky_query:295a8abea0d4a518fc403eb7064fbeb953a9b01d5c56f21ca1a3dfc5d535bb60 to SSP ssp-2
example/schema dev:example: ssp-3-1             | 2026-02-28T00:18:13.594660Z DEBUG ssp_server: Heartbeat sent successfully
example/schema dev:example: ssp-2-1             | 2026-02-28T00:18:13.600143Z DEBUG ssp_server: Heartbeat sent successfully
example/schema dev:example: ssp-1-1             | 2026-02-28T00:18:13.611938Z DEBUG ssp_server: Heartbeat sent successfully
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:15.687073Z  INFO scheduler::ingest: Received ingest: UPDATE thread:1d8464e302c94600981f547b97d70438 on thread
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:15.687378Z  INFO scheduler::ingest: Broadcasting to 3 ready SSPs
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:15.687391Z DEBUG scheduler::transport: POST /ingest -> http://ssp-1:8667/ingest
